#,Player,2021Salary
409,Javonte Green ,"1,517,981"
409,Dean Wade ,"1,517,981"
409,Mychal Mulder ,"1,517,981"
409,Chris Clemons ,"1,517,981"
409,Terance Mann ,"1,517,981"
409,Talen Horton-Tucker ,"1,517,981"
409,Terence Davis ,"1,517,981"
409,Chris Silva ,"1,517,981"
409,Juwan Morgan ,"1,517,981"
409,Miye Oni ,"1,517,981"
438,Robert Woodard ,"1,500,000"
439,JR Smith ,"1,456,667"
440,Paul Watson ,"1,445,697"
440,DaQuan Jeffries ,"1,445,697"
440,Jae'Sean Tate ,"1,445,697"
440,Kelan Martin ,"1,445,697"
440,Zylan Cheatham ,"1,445,697"
445,Damian Jones ,"1,368,301"
446,Vernon Carey ,"1,350,000"
447,Xavier Tillman ,"1,300,000"
448,Tyrell Terry ,"1,289,846"
449,Oshae Brissett ,"1,255,493"
450,Moses Brown ,"1,250,000"
451,Sindarius Thornwell ,"1,195,896"
452,Ersan Ilyasova ,"1,194,542"
453,Glenn Robinson III ,"1,165,322"
454,Quinn Cook ,"1,092,497"
455,Zhaire Smith ,"1,068,200"
456,Guerschon Yabusele ,"1,039,080"
457,Norvel Pelle ,"1,014,905"
458,Nick Richards ,"1,000,000"
458,Lamar Stevens ,"1,000,000"
458,Jahmi'us Ramsey ,"1,000,000"
461,Kyle Singler ,"999,200"
462,Shaquille Harrison ,"915,048"
463,Chimezie Metu ,"910,895"
464,Deividas Sirvydis ,"898,310"
464,KJ Martin ,"898,310"
464,Daniel Oturu ,"898,310"
464,Sam Merrill ,"898,310"
464,Jordan Nwora ,"898,310"
464,Isaiah Joe ,"898,310"
464,CJ Elleby ,"898,310"
464,Tre Jones ,"898,310"
464,Elijah Hughes ,"898,310"
464,Anthony Gill ,"898,310"
474,Jordan Bell ,"810,042"
475,Iman Shumpert ,"803,044"
476,Theo Pinson ,"802,182"
477,Khyri Thomas ,"744,684"
478,Yuta Watanabe ,"737,996"
479,Tremont Waters ,"712,278"
480,Frank Jackson ,"699,115"
481,Rayjon Tucker ,"693,755"
