Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
212,Jrue Holiday\holidjr01,PG,30,MIL,40,37,31.8,6.9,13.5,0.508,1.9,4.8,0.394,5,8.7,0.572,0.579,1.6,2,0.823,1.3,3.3,4.6,5.4,1.8,0.5,2.2,1.8,17.2
213,Justin Holiday\holidju01,SG,31,IND,50,41,31.5,3.8,9.1,0.422,2.5,6.6,0.387,1.3,2.5,0.512,0.562,1,1.3,0.8,0.5,3.2,3.7,1.7,1.3,0.4,0.8,2,11.3
214,Richaun Holmes\holmeri01,C,27,SAC,48,48,30.2,6,9.3,0.641,0,0.2,0.222,5.9,9.1,0.649,0.643,2.2,2.7,0.802,2.6,6.4,9,1.7,0.7,1.7,1.2,3.7,14.2
215,Rodney Hood\hoodro01,SF,28,TOT,42,5,19,1.9,5.2,0.369,0.7,2.2,0.298,1.2,2.9,0.423,0.433,0.3,0.4,0.824,0.5,1.4,1.8,1.1,0.5,0.1,0.8,1.5,4.8
215,Rodney Hood\hoodro01,SF,28,POR,38,5,19.1,1.9,5.3,0.363,0.7,2.2,0.298,1.3,3.1,0.41,0.425,0.2,0.3,0.75,0.5,1.4,1.9,1.2,0.5,0.1,0.8,1.6,4.7
215,Rodney Hood\hoodro01,SF,28,TOR,4,0,17.8,1.8,4,0.438,0.8,2.5,0.3,1,1.5,0.667,0.531,1.3,1.3,1,0.3,0.8,1,0,0.3,0.3,0.5,1.5,5.5
216,Al Horford\horfoal01,C,34,OKC,28,28,27.9,5.8,12.9,0.45,2,5.4,0.368,3.8,7.4,0.51,0.528,0.6,0.8,0.818,1,5.7,6.7,3.4,0.9,0.9,1,1.7,14.2
217,Talen Horton-Tucker\hortota01,SG,20,LAL,47,1,19,3.3,7.3,0.45,0.5,1.9,0.267,2.8,5.4,0.516,0.485,1.3,1.6,0.827,0.4,2.3,2.7,2.3,0.9,0.4,1.4,2,8.4
218,Danuel House\houseda01,SF,27,HOU,31,21,27.2,3.2,7.9,0.406,1.6,4.5,0.36,1.6,3.4,0.467,0.508,1.3,1.9,0.661,0.6,3.3,3.9,1.9,0.6,0.5,1,2,9.3
219,Dwight Howard\howardw01,C,35,PHI,51,5,17.5,2.5,4.4,0.581,0.1,0.3,0.267,2.5,4.1,0.604,0.59,1.8,3.1,0.579,2.6,5.7,8.3,0.8,0.5,0.9,1.7,3,6.9
220,Markus Howard\howarma02,SG,21,DEN,24,0,3.4,0.4,1.8,0.233,0.2,1.3,0.167,0.2,0.5,0.385,0.291,0,0.1,0.5,0,0.3,0.3,0.4,0.1,0,0.3,0.5,1.1
221,Kevin Huerter\huertke01,SG,22,ATL,52,37,30.7,4.4,10.5,0.421,2.1,5.6,0.365,2.4,4.9,0.486,0.519,0.8,1,0.824,0.6,2.8,3.3,3.4,1.2,0.2,1.2,2.4,11.7
222,Elijah Hughes\hugheel01,SF,22,UTA,11,0,3.5,0.7,1.7,0.421,0.5,1.3,0.429,0.2,0.5,0.4,0.579,0.3,0.4,0.75,0,0.6,0.6,0.4,0.1,0.1,0.5,0,2.3
223,De'Andre Hunter\huntede01,SF,23,ATL,20,18,31.3,5.6,11.2,0.502,1.6,4.4,0.356,4.1,6.8,0.596,0.572,3.3,3.8,0.867,0.8,4.3,5.1,2.1,0.9,0.5,1.4,2.7,16
224,Chandler Hutchison\hutchch01,SF,24,TOT,12,0,13.6,1.3,4.3,0.314,0.3,1.1,0.231,1.1,3.2,0.342,0.343,0.7,0.8,0.889,0.3,3.2,3.5,0.6,0.3,0,1.2,1.4,3.6
224,Chandler Hutchison\hutchch01,SF,24,CHI,7,0,9.1,0.7,2.6,0.278,0.1,0.4,0.333,0.6,2.1,0.267,0.306,0.3,0.3,1,0.1,2.7,2.9,0.6,0.1,0,0.7,1.3,1.9
224,Chandler Hutchison\hutchch01,SF,24,WAS,5,0,19.8,2.2,6.6,0.333,0.4,2,0.2,1.8,4.6,0.391,0.364,1.2,1.4,0.857,0.6,3.8,4.4,0.6,0.6,0,1.8,1.6,6
225,Serge Ibaka\ibakase01,C,31,LAC,39,39,23.6,4.5,8.9,0.507,1,2.8,0.352,3.5,6.1,0.577,0.562,0.9,1.2,0.822,1.7,4.9,6.7,1.7,0.2,1.2,1.1,1.9,10.9
226,Andre Iguodala\iguodan01,SF,37,MIA,47,2,21.3,1.5,4,0.372,1,3,0.324,0.5,1,0.522,0.495,0.4,0.7,0.636,0.6,3.2,3.8,2.1,1,0.5,1,1.4,4.4
227,Ersan İlyasova\ilyaser01,PF,33,UTA,6,0,5.5,0.7,2,0.333,0.5,1.7,0.3,0.2,0.3,0.5,0.458,0.5,0.5,1,0.5,0.7,1.2,0.3,0.2,0,0.2,1,2.3
228,Joe Ingles\inglejo01,SF,33,UTA,48,13,26.6,4,7.6,0.526,2.6,5.4,0.492,1.3,2.2,0.61,0.701,1.1,1.2,0.864,0.4,3.2,3.6,4.1,0.7,0.2,1.6,1.8,11.7
229,Brandon Ingram\ingrabr01,SF,23,NOP,46,46,34.4,8.5,17.9,0.475,2.4,6.2,0.386,6.1,11.7,0.521,0.541,4.5,5.1,0.876,0.6,4.3,4.9,4.7,0.6,0.7,2.4,2,23.8
230,Kyrie Irving\irvinky01,PG,28,BRK,37,37,35.6,10.8,20.9,0.514,2.8,7.1,0.398,7.9,13.9,0.572,0.581,3.6,3.9,0.904,1.1,3.7,4.9,6.2,1.2,0.6,2.3,2.8,27.9
231,Wesley Iwundu\iwundwe01,SF,26,TOT,29,3,13.6,0.9,2.6,0.333,0.1,1.1,0.121,0.7,1.4,0.5,0.36,0.7,0.8,0.864,0.3,1.8,2.1,0.5,0.4,0.1,0.5,1.2,2.5
231,Wesley Iwundu\iwundwe01,SF,26,DAL,23,3,12.5,0.7,2.3,0.327,0.1,1,0.13,0.6,1.3,0.483,0.356,0.5,0.6,0.857,0.3,1.7,1.9,0.4,0.4,0.1,0.3,1.1,2.1
231,Wesley Iwundu\iwundwe01,SF,26,NOP,6,0,17.8,1.3,3.8,0.348,0.2,1.7,0.1,1.2,2.2,0.538,0.37,1.2,1.3,0.875,0.5,2.3,2.8,0.7,0.7,0,1.3,1.5,4
232,Frank Jackson\jacksfr01,PG,22,DET,23,4,14.1,2.3,5.2,0.437,1.2,2.8,0.431,1,2.3,0.444,0.555,1,1.1,0.846,0.3,1.2,1.6,0.7,0.3,0,0.8,1,6.7
233,Josh Jackson\jacksjo02,SG,23,DET,47,12,24.4,4.6,11,0.418,1.2,4,0.294,3.4,7.1,0.488,0.471,2.2,3.1,0.719,0.9,3.1,4.1,2.1,0.9,0.7,2.1,2.8,12.6
234,Justin Jackson\jacksju01,SF,25,OKC,33,3,16.5,2.6,6.4,0.406,1,3.4,0.306,1.6,3.1,0.515,0.486,0.9,1.1,0.857,0.4,1.7,2.2,1.5,0.5,0.1,0.9,0.9,7.2
235,Reggie Jackson\jacksre01,SG,30,LAC,50,28,21.6,3.6,7.9,0.453,1.6,3.7,0.419,2,4.2,0.483,0.552,0.9,1.2,0.797,0.3,2.3,2.7,2.9,0.6,0.1,1.1,1.9,9.7
236,Justin James\jamesju01,SF,24,SAC,25,0,6,0.7,1.7,0.429,0.2,0.7,0.294,0.5,1,0.52,0.488,0.2,0.5,0.417,0.1,0.3,0.4,0.6,0.1,0,0.2,0.4,1.8
237,LeBron James\jamesle01,PG,36,LAL,41,41,33.9,9.5,18.4,0.513,2.4,6.5,0.368,7.1,12,0.592,0.578,4.1,5.8,0.703,0.6,7.3,7.9,7.9,1,0.6,3.7,1.6,25.4
238,DaQuan Jeffries\jeffrda01,SG,23,SAC,18,2,12.9,1.3,3.2,0.421,0.5,1.6,0.321,0.8,1.6,0.517,0.5,0.3,0.4,0.857,0.5,1.1,1.6,0.3,0.4,0.2,0.4,1.3,3.5
239,Ty Jerome\jeromty01,SG,23,OKC,19,1,25.7,3.6,8.5,0.426,2.1,5.1,0.402,1.6,3.4,0.462,0.546,0.4,0.6,0.583,0.5,2.4,2.9,3.6,0.6,0.2,1.1,1.8,9.7
240,Isaiah Joe\joeis01,SG,21,PHI,26,1,10.5,1.2,3.5,0.352,1,2.7,0.352,0.3,0.8,0.35,0.489,0.3,0.3,0.889,0.2,0.8,1,0.7,0.3,0.2,0.2,1,3.7
241,Alize Johnson\johnsal02,PF,24,BRK,5,0,15,4.2,6.4,0.656,0,0.4,0,4.2,6,0.7,0.656,0.2,0.2,1,1.8,4.8,6.6,1.2,0.6,0,0.4,0.6,8.6
242,Cameron Johnson\johnsca02,PF,24,PHO,45,9,23.3,3.4,7.8,0.441,2.1,5.4,0.387,1.3,2.4,0.566,0.576,0.8,0.9,0.881,0.6,2.7,3.3,1.4,0.6,0.3,0.7,1.4,9.8
243,James Johnson\johnsja01,PF,33,TOT,34,6,19,2.7,5.8,0.46,0.7,2.3,0.291,2,3.5,0.571,0.518,0.8,1.3,0.614,0.6,2.6,3.2,2,0.8,1,1.1,2.2,6.8
243,James Johnson\johnsja01,PF,33,DAL,29,1,17.4,2.3,5,0.462,0.5,2.1,0.25,1.8,2.9,0.612,0.514,0.6,1,0.586,0.5,2.5,3,1.7,0.8,0.8,0.9,2,5.7
243,James Johnson\johnsja01,F,33,NOP,5,5,28.6,4.8,10.6,0.453,1.6,3.8,0.421,3.2,6.8,0.471,0.528,2,3,0.667,1.2,3.2,4.4,3.4,0.8,2,1.8,3.4,13.2
244,Keldon Johnson\johnske04,SF,21,SAS,46,44,28.8,5,10.5,0.476,0.9,2.7,0.328,4.1,7.8,0.526,0.518,2.3,3,0.748,1.6,4.9,6.5,1.8,0.6,0.5,1.1,2.1,13.1
245,Stanley Johnson\johnsst04,PF,24,TOR,46,6,14.6,1,2.7,0.384,0.6,1.6,0.351,0.5,1.1,0.431,0.488,0.4,0.5,0.773,0.4,1.8,2.3,1.2,0.7,0.3,0.7,1.8,3
246,Tyler Johnson\johnsty01,SG,28,BRK,31,2,16.8,1.8,4.6,0.394,1.2,3.3,0.376,0.6,1.3,0.439,0.528,0.5,0.6,0.842,0.2,1.7,1.9,0.9,0.4,0,0.4,1,5.4
247,Nikola Jokić\jokicni01,C,25,DEN,51,51,35.4,10.4,18.3,0.571,1.4,3.4,0.422,9,14.9,0.605,0.61,4,4.7,0.858,2.8,8.1,10.9,8.7,1.5,0.6,3.1,2.7,26.3
